"시점","자치구별(1)",자치구별(2),일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자
"시점","자치구별(1)",자치구별(2),소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상
"2014","합계",강동구,6659,100,174,345,702,332,92,122,184,364,586,603,552,388,504,595,512,504
"2015","합계",소계,246580,3573,9590,18913,32671,12356,4227,3639,5856,11500,17639,19818,19821,15537,17754,19694,16745,17247
"2015","합계",종로구,3540,17,100,219,384,105,45,37,62,137,225,300,318,302,327,402,276,284
"2015","합계",중구,3916,34,109,227,394,114,43,50,76,154,248,301,377,337,359,382,337,374
"2015","합계",용산구,5696,50,181,391,583,178,66,70,131,237,378,483,479,473,523,540,490,443
"2015","합계",성동구,7125,75,272,583,1027,363,111,81,140,326,548,570,585,408,477,574,497,488
"2015","합계",광진구,7332,96,385,745,1280,349,111,93,185,361,571,566,518,365,433,461,379,434
"2015","합계",동대문구,11234,115,455,828,1373,442,156,149,231,478,721,864,959,806,952,1074,886,745
"2015","합계",중랑구,14364,197,806,1541,2407,541,173,206,339,627,1009,999,1083,758,986,1008,804,880
"2015","합계",성북구,12050,165,491,980,1578,632,183,182,295,619,857,918,899,763,835,970,852,831
"2015","합계",강북구,13565,213,437,915,1616,705,217,204,343,752,1056,1124,1075,894,995,1168,966,885
"2015","합계",도봉구,9292,123,508,1033,1600,417,97,157,226,459,683,647,542,377,528,664,607,624
"2015","합계",노원구,23942,289,768,1499,2833,1409,571,407,634,1142,1794,2048,2198,1652,1616,1873,1514,1695
"2015","합계",은평구,14685,199,693,1294,2236,811,222,184,375,737,994,1080,959,743,1098,1152,976,932
"2015","합계",서대문구,6822,431,218,546,893,292,98,86,120,277,447,507,460,383,474,551,510,529
"2015","합계",마포구,7343,114,205,446,832,419,168,110,157,341,519,623,564,485,550,670,527,613
"2015","합계",양천구,9924,151,542,1017,1608,406,138,148,270,500,668,683,656,506,628,695,661,647
"2015","합계",강서구,19451,206,481,964,1932,1180,463,326,470,867,1503,1870,1920,1466,1353,1465,1378,1607
"2015","합계",구로구,7933,108,400,740,1171,365,106,106,151,357,515,557,563,406,520,650,657,561
"2015","합계",금천구,9129,131,409,788,1234,461,128,114,183,450,685,759,698,568,616,747,597,561
"2015","합계",영등포구,8034,45,232,537,1013,262,65,93,164,294,583,663,745,613,805,745,588,587
"2015","합계",동작구,6659,86,198,357,660,357,121,122,199,319,487,537,543,408,514,617,549,585
"2015","합계",관악구,11800,137,363,692,1356,672,305,160,285,624,905,1056,991,751,873,944,843,843
"2015","합계",서초구,4514,103,179,336,591,309,124,86,129,175,335,324,371,280,276,344,238,314
"2015","합계",강남구,10704,279,331,598,1233,661,264,218,269,441,664,929,1011,812,842,823,622,707
"2015","합계",송파구,8571,105,405,903,1464,468,124,122,198,397,553,689,639,457,543,561,452,491
"2015","합계",강동구,8955,104,422,734,1373,438,128,128,224,429,691,721,668,524,631,614,539,587
"2016","합계",소계,255226,3310,10184,20342,34411,12419,4456,3499,5730,10525,17689,19751,21373,17905,18007,19414,17746,18465
"2016","합계",종로구,3517,20,115,203,361,98,32,38,57,120,234,275,332,308,330,397,302,295
"2016","합계",중구,3866,25,113,217,386,88,33,39,77,146,236,303,370,358,387,367,344,377
"2016","합계",용산구,5712,43,173,374,604,149,63,58,118,215,399,482,529,535,507,510,483,470
"2016","합계",성동구,7100,66,268,542,963,377,105,79,137,275,549,576,636,469,498,538,523,499
"2016","합계",광진구,7503,85,363,775,1287,354,115,96,160,323,583,553,574,453,448,468,399,467
"2016","합계",동대문구,11345,116,434,807,1366,443,175,130,226,429,715,893,971,927,946,1046,914,807
"2016","합계",중랑구,14703,160,759,1539,2378,547,186,204,313,589,993,1043,1197,960,996,1015,874,950
"2016","합계",성북구,12386,155,493,1047,1716,611,214,149,266,554,863,923,978,874,839,923,914,867
"2016","합계",강북구,15039,170,648,1253,2115,712,256,190,349,712,1089,1164,1179,1010,994,1168,1013,1017
"2016","합계",도봉구,10069,124,535,1103,1643,485,142,156,256,451,773,689,659,512,556,635,676,674
"2016","합계",노원구,24088,297,765,1481,2838,1385,598,384,613,1037,1787,1977,2271,1816,1608,1779,1669,1783
"2016","합계",은평구,15333,186,726,1505,2384,819,246,188,333,686,1023,1034,1074,830,1066,1140,1041,1052
"2016","합계",서대문구,7089,367,238,581,944,341,126,80,125,235,443,517,528,429,478,544,552,561
"2016","합계",마포구,7378,118,217,457,844,405,133,129,152,307,538,575,614,536,526,642,532,653
"2016","합계",양천구,10306,125,560,1066,1688,444,156,130,263,448,678,721,756,594,636,686,670,685
"2016","합계",강서구,20601,199,645,1298,2308,1126,440,327,477,782,1425,1795,2010,1677,1379,1492,1490,1731
"2016","합계",구로구,8178,97,387,767,1150,363,117,104,164,330,528,558,612,506,556,656,654,629
"2016","합계",금천구,9229,119,403,735,1202,429,134,106,203,379,690,768,796,643,651,731,635,605
"2016","합계",영등포구,7516,58,198,477,870,240,66,68,146,267,528,607,736,639,770,683,580,583
"2016","합계",동작구,7573,78,266,609,1029,351,130,120,183,293,497,526,591,497,538,646,596,623
"2016","합계",관악구,12597,131,445,837,1563,703,290,169,299,596,889,1069,1063,902,907,933,891,910
"2016","합계",서초구,4673,98,230,342,614,296,112,90,127,169,327,329,382,334,284,334,265,340
"2016","합계",강남구,10885,242,347,632,1222,682,276,200,263,391,651,870,1040,926,856,860,676,751
"2016","합계",송파구,9046,118,431,892,1536,498,148,137,180,371,568,707,712,536,607,599,479,527
"2016","합계",강동구,9494,113,425,803,1400,473,163,128,243,420,683,797,763,634,644,622,574,609
"2017","합계",소계,251809,3004,8947,18276,29783,12190,4657,3334,5578,9686,17290,19750,22636,19767,18848,19099,19267,19697
"2017","합계",종로구,3620,15,88,181,320,96,36,41,48,118,215,307,361,359,375,378,360,322
"2017","합계",중구,3857,29,96,217,322,102,33,33,74,149,225,315,385,367,404,353,364,389
"2017","합계",용산구,5688,51,150,326,515,174,62,56,121,194,386,473,580,551,523,509,491,526
"2017","합계",성동구,6889,57,201,499,788,346,118,64,120,236,529,573,667,558,527,526,530,550
"2017","합계",광진구,7337,77,313,688,1104,374,122,73,152,304,588,565,610,496,486,470,433,482
"2017","합계",동대문구,11079,102,344,736,1166,413,178,143,215,370,698,891,1023,994,974,985,976,871
"2017","합계",중랑구,14734,154,676,1368,2081,562,218,179,334,557,1028,1115,1278,1123,1064,1027,950,1020
"2017","합계",성북구,11952,161,410,977,1484,595,221,139,234,497,796,903,969,927,828,927,948,936
"2017","합계",강북구,14669,147,554,1083,1798,705,291,174,322,632,1111,1150,1261,1073,1008,1122,1110,1128
"2017","합계",도봉구,10344,149,478,994,1519,526,179,148,264,443,797,741,744,643,602,651,726,740
"2017","합계",노원구,23464,254,687,1350,2401,1324,594,364,600,905,1713,1933,2296,1924,1712,1689,1854,1864
"2017","합계",은평구,15230,171,653,1357,2141,793,279,176,318,633,1053,1036,1151,982,1082,1154,1104,1147
"2017","합계",서대문구,7118,357,222,528,843,309,120,79,124,235,446,494,590,508,501,532,628,602
