서울시,강서구,10,400,9,300,1,100,10,238,10,238,-,-,10,253,10,253,-,-,13,294,13,294,-,-,16,376,16,376,-,-,17,290,17,290,-,-,17,404,17,404,-,-,16,400,16,400,-,-,18,404,18,404,-,-,18,396,18,396,-,-,19,399,19,399,-,-,19,419,19,419,197,222,-,-,20,421,20,421,218,203,-,-,20,475,20,475,246,229,-,-,20,503,20,503,261,242,-,-,20,503,20,503,262,241,-,-,20,472,20,472,238,234,-,-,19,444,19,444,223,221,-,-,18,444,18,444,211,233,-,-
서울시,구로구,9,240,9,240,-,-,12,260,12,260,-,-,14,274,14,274,-,-,17,331,17,331,-,-,19,373,19,373,-,-,20,340,20,340,-,-,19,488,19,488,-,-,20,498,20,498,-,-,20,493,20,493,-,-,21,537,21,537,-,-,21,511,21,511,-,-,21,538,21,538,262,276,-,-,24,583,24,583,302,281,-,-,25,671,25,671,348,323,-,-,24,679,24,679,352,327,-,-,24,672,24,672,349,323,-,-,24,654,24,654,309,345,-,-,25,652,25,652,314,338,-,-,26,704,26,704,357,347,-,-
서울시,금천구,14,395,14,395,-,-,13,407,13,407,-,-,-,-,-,-,-,-,21,587,21,587,-,-,23,637,23,637,-,-,25,556,25,556,-,-,28,800,28,800,-,-,27,819,27,819,-,-,27,761,27,761,-,-,26,854,26,854,-,-,27,817,27,817,-,-,27,789,27,789,391,398,-,-,27,912,27,912,472,440,-,-,26,889,26,889,461,428,-,-,26,887,26,887,459,428,-,-,26,888,26,888,462,426,-,-,26,784,26,784,407,377,-,-,26,777,26,777,401,376,-,-,26,788,26,788,400,388,-,-
서울시,영등포구,6,151,6,151,-,-,4,120,4,120,-,-,-,-,-,-,-,-,13,277,13,277,-,-,14,299,14,299,-,-,15,291,15,291,-,-,15,389,15,389,-,-,14,394,14,394,-,-,13,383,13,383,-,-,15,422,15,422,-,-,16,480,16,480,-,-,15,448,15,448,222,226,-,-,16,478,16,478,248,230,-,-,17,535,17,535,277,258,-,-,17,541,17,541,280,261,-,-,17,541,17,541,281,260,-,-,17,529,17,529,282,247,-,-,17,524,17,524,273,251,-,-,18,497,18,497,248,249,-,-
서울시,동작구,9,306,9,306,-,-,7,190,7,190,-,-,13,322,13,322,-,-,17,423,17,423,-,-,19,479,19,479,-,-,19,428,19,428,-,-,19,517,19,517,-,-,19,506,19,506,-,-,19,489,19,489,-,-,24,554,24,554,-,-,23,536,23,536,-,-,23,507,23,507,267,240,-,-,23,531,23,531,275,256,-,-,23,598,23,598,310,288,-,-,23,598,23,598,310,288,-,-,23,601,23,601,312,289,-,-,23,514,23,514,260,254,-,-,21,498,21,498,251,247,-,-,21,504,21,504,257,247,-,-
서울시,관악구,33,1005,33,1005,-,-,27,886,27,886,-,-,-,-,-,-,-,-,36,1069,36,1069,-,-,36,870,36,870,-,-,36,795,36,795,-,-,33,935,33,935,-,-,30,1045,30,1045,-,-,30,902,30,902,-,-,29,907,29,907,-,-,29,885,29,885,-,-,27,799,27,799,431,368,-,-,27,816,27,816,423,393,-,-,27,895,27,895,464,431,-,-,27,875,27,875,453,422,-,-,27,857,27,857,446,411,-,-,26,769,26,769,414,355,-,-,26,769,26,769,414,355,-,-,26,749,26,749,409,340,-,-
서울시,서초구,-,-,-,-,-,-,-,-,-,-,-,-,3,59,3,59,-,-,3,59,3,59,-,-,3,70,3,70,-,-,4,69,4,69,-,-,5,91,5,91,-,-,5,117,5,117,-,-,5,111,5,111,-,-,5,114,5,114,-,-,6,114,6,114,-,-,7,161,7,161,71,90,-,-,9,197,9,197,102,95,-,-,9,240,9,240,124,116,-,-,9,240,9,240,124,116,-,-,9,240,9,240,125,115,-,-,9,201,9,201,114,87,-,-,8,220,8,220,135,85,-,-,8,188,8,188,107,81,-,-
서울시,강남구,1,9,1,9,-,-,2,35,1,9,1,26,3,588,3,588,-,-,3,53,3,53,-,-,3,68,3,68,-,-,3,68,3,68,-,-,2,61,2,61,-,-,2,64,2,64,-,-,2,59,2,59,-,-,2,57,2,57,-,-,2,59,2,59,-,-,3,70,3,70,41,29,-,-,4,94,4,94,49,45,-,-,4,112,4,112,58,54,-,-,4,112,4,112,58,54,-,-,4,106,4,106,55,51,-,-,3,56,3,56,29,27,-,-,3,56,3,56,29,27,-,-,3,56,3,56,21,35,-,-
서울시,송파구,4,73,4,73,-,-,3,63,3,63,-,-,-,-,-,-,-,-,11,207,11,207,-,-,10,197,10,197,-,-,12,193,12,193,-,-,13,329,13,329,-,-,13,330,13,330,-,-,14,334,14,334,-,-,15,397,15,397,-,-,16,419,16,419,-,-,19,512,19,512,272,240,-,-,19,501,19,501,260,241,-,-,19,589,19,589,305,284,-,-,19,590,19,590,306,284,-,-,19,588,19,588,306,282,-,-,19,551,19,551,273,278,-,-,19,526,19,526,274,252,-,-,19,537,19,537,287,250,-,-
서울시,강동구,9,230,9,230,-,-,5,142,5,142,-,-,13,372,13,372,-,-,16,479,16,479,-,-,18,501,18,501,-,-,20,390,20,390,-,-,21,540,21,540,-,-,21,560,21,560,-,-,20,507,20,507,-,-,19,511,19,511,-,-,20,499,20,499,-,-,20,497,20,497,299,198,-,-,21,552,21,552,286,266,-,-,21,609,21,609,316,293,-,-,22,625,22,625,324,301,-,-,23,650,23,650,338,312,-,-,25,617,25,617,346,271,-,-,25,632,25,632,354,278,-,-,25,618,25,618,356,262,-,-
